------------------------------------------
Script start.sh iniciado en: mar 05 ago 2025 21:06:43 CEST
------------------------------------------
Paso 1: Pausa inicial de 15 segundos...
Pausa completada.
Paso 2: Navegando al directorio del script...
Directorio actual: /home/pizero/estacion_meteo
Paso 3: Exportando la variable de entorno DISPLAY...
DISPLAY establecido a: :0
Paso 4: Intentando lanzar main.py con el Python del sistema...
Ruta de Python 3: /usr/bin/python3
2025-08-11 19:08:05 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:08:05 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:08:05 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:08:05 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:08:05 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:08:05 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:08:05 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:09:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:09:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 3
2025-08-11 19:09:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:09:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:09:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:09:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:09:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:09:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:09:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:09:01 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:09:01 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
